,link,id,locality,country,province,zip_code,price,property_type,subproperty_type,bedroom_count,total_area_m2,equipped_kitchen,furnished,open_fire,terrace,garden,surface_land,swimming_pool,state_building,epc,public_sales,notary_sales
936,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105944,11105944,Brussels,Belgium,Brussels,1000,379000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
937,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119531,11119531,Namur,Belgium,Namur,5000,195000,APARTMENT,APARTMENT,1.0,46.0,1,0,0,0.0,0.0,,0,,,,
938,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105956,11105956,Brussels,Belgium,Brussels,1000,384000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
939,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11096759,11096759,Gent,Belgium,East Flanders,9000,634947,APARTMENT,APARTMENT,1.0,77.0,1,0,0,9.0,0.0,,0,AS_NEW,,,
940,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105952,11105952,Brussels,Belgium,Brussels,1000,405000,APARTMENT,APARTMENT,2.0,99.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
941,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105953,11105953,Brussels,Belgium,Brussels,1000,405000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
942,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11096758,11096758,Gent,Belgium,East Flanders,9000,639669,APARTMENT,APARTMENT,1.0,77.0,1,0,0,9.0,0.0,,0,AS_NEW,,,
943,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105965,11105965,Brussels,Belgium,Brussels,1000,411000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
944,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119533,11119533,Namur,Belgium,Namur,5000,197000,APARTMENT,APARTMENT,1.0,47.0,1,0,0,0.0,0.0,,0,,,,
945,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105963,11105963,Brussels,Belgium,Brussels,1000,415000,APARTMENT,APARTMENT,2.0,99.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
946,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105964,11105964,Brussels,Belgium,Brussels,1000,415000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
947,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105955,11105955,Brussels,Belgium,Brussels,1000,416000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
948,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105961,11105961,Brussels,Belgium,Brussels,1000,418000,APARTMENT,APARTMENT,2.0,99.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
949,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105962,11105962,Brussels,Belgium,Brussels,1000,418000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
950,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119510,11119510,Namur,Belgium,Namur,5000,200000,APARTMENT,APARTMENT,1.0,51.0,1,0,0,6.0,0.0,,0,,,,
951,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105960,11105960,Brussels,Belgium,Brussels,1000,420000,APARTMENT,APARTMENT,2.0,104.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
952,https://www.immoweb.be/en/classified/apartment/for-sale/brussels-city/1000/11105959,11105959,Brussels,Belgium,Brussels,1000,422000,APARTMENT,APARTMENT,2.0,98.0,1,0,0,8.0,0.0,,0,AS_NEW,,,
953,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11096757,11096757,Gent,Belgium,East Flanders,9000,644393,APARTMENT,APARTMENT,1.0,77.0,1,0,0,9.0,0.0,,0,AS_NEW,,,
954,https://www.immoweb.be/en/classified/apartment/for-sale/namur/5000/11119511,11119511,Namur,Belgium,Namur,5000,200000,APARTMENT,APARTMENT,1.0,52.0,1,0,0,6.0,0.0,,0,,,,
